[2026-04-23 14:34:41] INFO     db — Database initialized.
[2026-04-23 14:34:42] INFO     auth — Default admin account created: 'admin'
[2026-04-23 14:35:02] INFO     db — Database initialized.
[2026-04-23 14:35:02] INFO     auth — Login successful: admin
[2026-04-23 14:35:02] INFO     db — Database initialized.
[2026-04-23 14:35:15] INFO     db — Database initialized.
[2026-04-23 14:35:26] INFO     db — Database initialized.
[2026-04-23 14:36:26] INFO     db — Database initialized.
[2026-04-23 14:36:26] INFO     db — Database initialized.
[2026-04-23 15:04:15] INFO     db — Database initialized.
[2026-04-23 15:04:15] INFO     db — Database initialized.
[2026-04-23 15:04:15] INFO     db — Database initialized.
[2026-04-23 15:05:41] INFO     db — Database initialized.
[2026-04-23 15:05:41] INFO     auth — Login successful: admin
[2026-04-23 15:05:51] INFO     db — Database initialized.
[2026-04-23 15:07:59] INFO     db — Database initialized.
[2026-04-23 15:08:37] INFO     db — Database initialized.
[2026-04-23 15:08:37] INFO     auth — Login successful: admin
[2026-04-23 15:08:54] INFO     db — Database initialized.
[2026-04-23 15:09:26] INFO     db — Database initialized.
[2026-04-23 15:09:26] INFO     auth — Login successful: admin
[2026-04-23 15:30:58] INFO     db — Database initialized.
[2026-04-23 15:30:58] INFO     db — Database initialized.
[2026-04-23 15:30:58] INFO     db — Database initialized.
[2026-04-23 15:30:58] INFO     db — Database initialized.
[2026-04-23 15:31:13] INFO     db — Database initialized.
[2026-04-23 15:33:12] INFO     db — Database initialized.
[2026-04-23 15:33:12] INFO     auth — Login successful: admin
[2026-04-23 15:33:13] INFO     db — Database initialized.
[2026-04-23 15:36:01] INFO     db — Database initialized.
[2026-04-23 15:45:19] DEBUG    utils.loader —   Loaded 1 pages from 11974.pdf
[2026-04-23 15:45:19] DEBUG    utils.loader —   Loaded 1 pages from 11977.pdf
[2026-04-23 15:45:19] DEBUG    utils.loader —   Loaded 1 pages from 11982.pdf
[2026-04-23 15:45:20] DEBUG    utils.loader —   Loaded 1 pages from 11987.pdf
[2026-04-23 15:45:20] DEBUG    utils.loader —   Loaded 1 pages from 11990.pdf
[2026-04-23 15:45:20] DEBUG    utils.loader —   Loaded 1 pages from 11993.pdf
[2026-04-23 15:45:20] DEBUG    utils.loader —   Loaded 1 pages from 11995.pdf
[2026-04-23 15:45:20] DEBUG    utils.loader —   Loaded 1 pages from 11997.pdf
[2026-04-23 15:45:20] DEBUG    utils.loader —   Loaded 1 pages from 11999.pdf
[2026-04-23 15:45:20] DEBUG    utils.loader —   Loaded 1 pages from 12047.pdf
[2026-04-23 15:45:20] DEBUG    utils.loader —   Loaded 1 pages from 12069.pdf
[2026-04-23 15:45:20] DEBUG    utils.loader —   Loaded 1 pages from 12070.pdf
[2026-04-23 15:45:20] DEBUG    utils.loader —   Loaded 1 pages from 12071.pdf
[2026-04-23 15:45:20] DEBUG    utils.loader —   Loaded 1 pages from 12072.pdf
[2026-04-23 15:45:20] DEBUG    utils.loader —   Loaded 1 pages from 12088.pdf
[2026-04-23 15:45:20] DEBUG    utils.loader —   Loaded 1 pages from 12090.pdf
[2026-04-23 15:45:20] DEBUG    utils.loader —   Loaded 1 pages from 12096.pdf
[2026-04-23 15:45:20] DEBUG    utils.loader —   Loaded 1 pages from 12103.pdf
[2026-04-23 15:45:21] DEBUG    utils.loader —   Loaded 1 pages from 12107.pdf
[2026-04-23 15:45:21] DEBUG    utils.loader —   Loaded 1 pages from 12110.pdf
[2026-04-23 15:45:21] DEBUG    utils.loader —   Loaded 1 pages from 12129.pdf
[2026-04-23 15:45:21] DEBUG    utils.loader —   Loaded 2 pages from 12150.pdf
[2026-04-23 15:45:21] DEBUG    utils.loader —   Loaded 1 pages from 12159.pdf
[2026-04-23 15:45:21] DEBUG    utils.loader —   Loaded 1 pages from 12162.pdf
[2026-04-23 15:45:21] DEBUG    utils.loader —   Loaded 1 pages from 12163.pdf
[2026-04-23 15:45:21] DEBUG    utils.loader —   Loaded 1 pages from 12166.pdf
[2026-04-23 15:45:21] DEBUG    utils.loader —   Loaded 1 pages from 12171.pdf
[2026-04-23 15:45:21] DEBUG    utils.loader —   Loaded 1 pages from 12172.pdf
[2026-04-23 15:45:21] DEBUG    utils.loader —   Loaded 1 pages from 12179.pdf
[2026-04-23 15:45:21] DEBUG    utils.loader —   Loaded 1 pages from 12193.pdf
[2026-04-23 15:45:22] DEBUG    utils.loader —   Loaded 1 pages from 12195.pdf
[2026-04-23 15:45:22] DEBUG    utils.loader —   Loaded 2 pages from 12204.pdf
[2026-04-23 15:45:22] DEBUG    utils.loader —   Loaded 1 pages from 12241.pdf
[2026-04-23 15:45:22] DEBUG    utils.loader —   Loaded 1 pages from 12248.pdf
[2026-04-23 15:45:22] DEBUG    utils.loader —   Loaded 1 pages from 12249.pdf
[2026-04-23 15:45:22] DEBUG    utils.loader —   Loaded 1 pages from 12250.pdf
[2026-04-23 15:45:22] DEBUG    utils.loader —   Loaded 1 pages from 12296.pdf
[2026-04-23 15:45:22] DEBUG    utils.loader —   Loaded 1 pages from 12323.pdf
[2026-04-23 15:45:22] DEBUG    utils.loader —   Loaded 1 pages from 12428.pdf
[2026-04-23 15:45:22] DEBUG    utils.loader —   Loaded 1 pages from 12726.pdf
[2026-04-23 15:45:22] DEBUG    utils.loader —   Loaded 1 pages from 12727.pdf
[2026-04-23 15:45:22] DEBUG    utils.loader —   Loaded 1 pages from 12728.pdf
[2026-04-23 15:45:22] DEBUG    utils.loader —   Loaded 1 pages from 12729.pdf
[2026-04-23 15:45:22] DEBUG    utils.loader —   Loaded 1 pages from 12730.pdf
[2026-04-23 15:45:23] DEBUG    utils.loader —   Loaded 1 pages from 12928.pdf
[2026-04-23 15:45:23] DEBUG    utils.loader —   Loaded 1 pages from 13611.pdf
